Employee_ID,Age,Experience,Education_Level,Department,Salary,Training_Hours,Attendance,Projects_Completed,Overtime,Performance
E001,25,2,Bachelor,IT,35000,30,95,5,Yes,High
E002,32,7,Master,HR,50000,20,90,4,No,High
E003,28,3,Bachelor,Finance,40000,15,88,3,Yes,Low
E004,40,12,Master,Sales,70000,35,97,8,No,High
E005,30,5,Bachelor,IT,45000,25,92,5,Yes,High
E006,27,2,Bachelor,HR,36000,10,80,2,No,Low
E007,45,18,Master,Finance,85000,40,99,10,Yes,High
E008,29,4,Bachelor,Sales,42000,18,85,3,No,Low
E009,38,10,Master,IT,65000,32,96,7,Yes,High
E010,31,6,Bachelor,HR,47000,22,91,4,No,High
E011,26,2,Bachelor,Finance,37000,12,82,2,Yes,Low
E012,35,9,Master,Sales,60000,28,94,6,No,High
E013,33,7,Bachelor,IT,52000,24,89,5,Yes,High
E014,24,1,Bachelor,HR,32000,8,78,1,No,Low
E015,41,14,Master,Finance,76000,36,98,9,Yes,High
E016,37,11,Bachelor,Sales,62000,30,95,7,No,High
E017,29,4,Bachelor,IT,43000,16,84,3,Yes,Low
E018,34,8,Master,HR,56000,27,93,6,No,High
E019,42,15,Master,Finance,80000,38,99,9,Yes,High
E020,27,3,Bachelor,Sales,39000,14,83,2,No,Low
